obf,disccount,nodekindcode,lowerbound,upperbound
-------------------X-------XXO----OOOX----XO-------------------- X;,10,16,-22,36
------------------XXX------XO------OOO------O-------O----------- X;,10,16,-14,36
------------------X--------XX-----OOOOO--O-O-------------------- X;,10,8,-36,0
--------------------X-----OXO-----OOO-----O-O------------------- X;,9,16,-6,36
-------------O-----X-O----OOXO-----XO--------------------------- X;,9,16,-20,36
------------------OX------OXX-----OOO--------------------------- X;,8,2,20,20
-----------------O-O------OXXX----XOX-------O------------------- X;,10,2,14,14
--------------------------OXXX----XOO-------O------------------- X;,8,16,-6,36
---------------------O-----XOO-----OOO-------------------------- X;,7,16,2,36
-----------O-------OXX----XOX-----OOO--------------------------- X;,10,16,-18,36
-------------------X-------XX-----OXO------O------OOO----------- X;,10,8,-36,-6
------------------XOX-----XOX-----XOX-------O------------------- X;,10,8,-36,6
-------------------XXX-----XX----OOOO----X---------------------- X;,10,8,-36,-2
-------------------O-O----XXOX-----XO-------O-------O----------- X;,10,8,-36,20
-------------------X-------XX-----OXX------OOO----O------------- X;,10,2,24,24
----------X-------XX-------XOOO----OO-------O------------------- X;,10,16,-22,36
----------X--------X------XOOO-----OO------O-------------------- X;,9,16,0,36
--------------------XO---XXXO------OO--------O------------------ X;,9,2,20,20
-----------OX-------O-O---XXXO-----XO--------------------------- X;,10,8,-36,2
-------------------XO-----XXX-----OOOOO------------------------- X;,10,2,12,12
------------------OOO------XOX----XXO-------O------------------- X;,10,16,-6,36
------------O-------OX-----OX-----OOOO----X--------------------- X;,10,4,-20,-20
-----------O-------O-X----OOXO-----XO--------------------------- X;,9,16,-20,36
-------------------O-X----XOXO-----OO------O-------------------- X;,9,16,-20,36
---------------------X----OOOO----XXO------O-------O------------ X;,10,16,-14,36
---------------------X-----OOOO---XXOX-----O-------------------- X;,10,16,-20,36
---------------------------XO------OOO-------------------------- X;,5,1,4,4
-------------------OX-----OOX-----XOX------O-------O------------ X;,10,16,-6,36
------------------XXX-O----XOO-----OOO-------------------------- X;,10,16,-18,36
---------------------X-----XX----OOXO-----O-O------O------------ X;,10,16,-20,36
-------------------XXX-----OX-----OXO-----O-------O------------- X;,10,16,-24,36
-------------------X------OOOO-----XOX----XO-------------------- X;,10,4,-22,-22
--------------------X-----OXX-----XOX-------OOO----------------- X;,10,16,-22,36
------------------OX-------OXO-----XOX----XO-------------------- X;,10,16,-22,36
---------------------X----XXXO-----XO------OO-------O----------- X;,10,16,-22,36
------------X-------X-----XXX-----OOOO--------O----------------- X;,10,16,-6,36
-----------X------XX-------XOOO----OOO-------------------------- X;,10,4,-22,-22
------------------XX-O-----XX------OOOO----O-------------------- X;,10,16,-14,36
------------X-O-----XO----XOO-----OOO--------------------------- X;,10,16,-22,36
-----------O------OO-----XXOX-----OOO--------------------------- X;,10,8,-36,16
------------XO------OX----XOX-----OOO--------------------------- X;,10,16,-22,36
--------------------OX----XXOO-----OO------O-------------------- X;,9,16,-20,36
--------------------OX-----OOO-----XO--------------------------- X;,7,4,-20,-20
-------------------X-O-----XO-----XOOX---X---O------------------ X;,10,8,-36,20
-----------X------XX--O----XOO-----OOO-------------------------- X;,10,16,-22,36
-------------------XO------XX------XOOO------O------------------ X;,9,2,22,22
--------------O----XXO----XOO-----OOO--------------------------- X;,10,4,-18,-18
--------------------OX----XOX-----OOO--------------------------- X;,8,4,-18,-18
-------------X----O-X----OOOO-----XXO--------------------------- X;,10,16,2,36
------------X-------X------OX------XOO-------OO----------------- X;,9,2,22,22
--------------------O-----XOOX----OXO-------O-------O----------- X;,10,2,6,6
------------------XXX------XOOO----OOO-------------------------- X;,10,16,-18,36
-------------------OX------OXOO---XOO------O-------------------- X;,10,16,-6,36
------------O------XOX----XOO-----OOO--------------------------- X;,10,16,-18,36
------------------XXXO-----XOO-----OOO-------------------------- X;,10,16,-18,36
------------O-----OXOX----XXO------XO--------------------------- X;,10,16,-18,36
------------------O-OX----XOX------XO--------------------------- X;,8,16,-18,36
------------------O-O-----XOXX-----XO--------------------------- X;,8,2,20,20
--------------X-----OXO---XOX-----OOO--------------------------- X;,10,16,-18,36
--------------X---O-OXO---XOX------XO--------------------------- X;,10,16,-18,36
-------------------X-------XX-----OXO-----O-------O------------- X;,8,16,-18,36
------------------O-------XOX------OO------O-------------------- X;,7,2,18,18
-----------------X--------XXXX-----OOO-----O-------O------------ X;,10,4,-12,-12
-----------------O-OX-----OXX-----XOX------O-------------------- X;,10,2,6,6
-----------------X----O---XXXO-----OO------O-------O------------ X;,10,16,4,36
---------------------OO---XXXO----OOO--------------------------- X;,9,16,2,36
--------------------XO-----XOO-----OOO----O------O-------------- X;,10,8,-36,16
-------------------X-------XOO----OOOO-------O------------------ X;,9,16,2,36
------------------O---X---XOXX-----XO-------O-------O----------- X;,10,16,-8,36
